TEMPERATURE,group,Slope,Heritability,r.sqaured
27,egg,0.000545031,0.001090061,0.70134051
28.5,egg,0.000290274,0.000580547,0.650615291
30,egg,0.000482798,0.000965596,0.737518098
27,hatch,0.027351985,0.05470397,0.363633179
28.5,hatch,0.027196412,0.054392824,0.472927471
30,hatch,0.016172574,0.032345147,0.258915998
27,1-months,0.112259393,0.224518786,0.210022938
28.5,1-months,0.115603991,0.231207981,0.416699181
30,1-months,0.028226279,0.056452558,0.021895088
27,2-months,0.006022278,0.012044556,0.003167561
28.5,2-months,-0.018970575,0,0.024572702
30,2-months,0.01166244,0.023324879,0.000241364
27,2.5-months,0.101605152,0.203210304,0.118510613
28.5,2.5-months,-0.098385725,0,0.006762172
30,2.5-months,0.02857858,0.05715716,0.013419196
